Date,TF,Open,High,Low,Close,Med,CO
2016-11-02,18:00:00,1.10991,1.11163,1.1086,1.10978,1.110115,-1.2999999999996348e-4
2016-11-02,18:30:00,1.10981,1.11011,1.10925,1.10943,1.10968,-3.8000000000004697e-4
2016-11-02,19:00:00,1.10944,1.10982,1.10834,1.10876,1.10908,-6.800000000000139e-4
2016-11-02,19:30:00,1.10876,1.10925,1.10869,1.10915,1.10897,3.900000000001125e-4
2016-11-02,20:00:00,1.10915,1.10944,1.10903,1.10919,1.109235,3.999999999981796e-5
2016-11-02,20:30:00,1.1092,1.10983,1.10913,1.10966,1.10948,4.60000000000127e-4
2016-11-02,21:00:00,1.10965,1.10976,1.10937,1.10961,1.109565,-4.0000000000040004e-5
2016-11-02,21:30:00,1.10962,1.10963,1.10937,1.10949,1.1095,-1.2999999999996348e-4
2016-11-02,22:00:00,1.1095,1.10973,1.10944,1.10961,1.109585,1.100000000000545e-4
2016-11-02,22:30:00,1.10962,1.10988,1.10957,1.10976,1.109725,1.40000000000029e-4
2016-11-02,23:00:00,1.10976,1.1098,1.10938,1.10959,1.1095899999999999,-1.7000000000000348e-4
2016-11-02,23:30:00,1.1096,1.10964,1.1093,1.10933,1.10947,-2.6999999999999247e-4
2016-11-03,00:00:00,1.10932,1.10945,1.10912,1.10912,1.109285,-1.9999999999997797e-4
2016-11-03,00:30:00,1.10912,1.11053,1.10911,1.11019,1.10982,0.0010699999999999044
2016-11-03,01:00:00,1.11018,1.11069,1.11007,1.11015,1.11038,-2.999999999997449e-5
2016-11-03,01:30:00,1.11015,1.11125,1.10985,1.11125,1.11055,0.001100000000000101
2016-11-03,02:00:00,1.11125,1.11136,1.11051,1.11128,1.110935,2.999999999997449e-5
2016-11-03,02:30:00,1.11128,1.11252,1.11125,1.11251,1.111885,0.0012300000000000644
2016-11-03,03:00:00,1.11251,1.11251,1.1113,1.11174,1.1119050000000001,-7.700000000001594e-4
2016-11-03,03:30:00,1.11175,1.11229,1.11145,1.11158,1.1118700000000001,-1.7000000000000348e-4
2016-11-03,04:00:00,1.11157,1.11212,1.11147,1.11207,1.1117949999999999,4.999999999999449e-4
2016-11-03,04:30:00,1.11206,1.11206,1.11141,1.11145,1.111735,-6.099999999999994e-4
2016-11-03,05:00:00,1.11145,1.11156,1.1109,1.11094,1.11123,-5.100000000000104e-4
2016-11-03,05:30:00,1.11094,1.11108,1.11079,1.111,1.110935,5.999999999994898e-5
2016-11-03,06:00:00,1.11102,1.11181,1.11101,1.11173,1.11141,7.100000000002105e-4
2016-11-03,06:30:00,1.11172,1.11201,1.11127,1.11135,1.11164,-3.6999999999998145e-4
2016-11-03,07:00:00,1.11136,1.11252,1.11134,1.11182,1.11193,4.60000000000127e-4
2016-11-03,07:30:00,1.11182,1.11248,1.11145,1.11208,1.111965,2.5999999999992696e-4
2016-11-03,08:00:00,1.11208,1.11209,1.11003,1.11048,1.1110600000000002,-0.0016000000000000458
2016-11-03,08:30:00,1.11048,1.11085,1.10936,1.10971,1.110105,-7.699999999999374e-4
2016-11-03,09:00:00,1.1097,1.11003,1.10927,1.10941,1.10965,-2.8999999999990145e-4
2016-11-03,09:30:00,1.10941,1.11032,1.10936,1.10952,1.10984,1.100000000000545e-4
2016-11-03,10:00:00,1.10952,1.11001,1.1086,1.10901,1.109305,-5.100000000000104e-4
2016-11-03,10:30:00,1.109,1.10917,1.10825,1.10836,1.1087099999999999,-6.399999999999739e-4
2016-11-03,11:00:00,1.10837,1.10837,1.10703,1.10742,1.1077,-9.500000000000064e-4
2016-11-03,11:30:00,1.10744,1.10773,1.10652,1.10738,1.107125,-5.999999999994898e-5
2016-11-03,12:00:00,1.10739,1.10756,1.10599,1.10657,1.106775,-8.200000000000429e-4
2016-11-03,12:30:00,1.10659,1.10739,1.10607,1.10644,1.1067300000000002,-1.4999999999987246e-4
2016-11-03,13:00:00,1.10645,1.10681,1.10595,1.10667,1.1063800000000001,2.20000000000109e-4
2016-11-03,13:30:00,1.10666,1.10735,1.10644,1.10706,1.1068950000000002,3.9999999999995595e-4
2016-11-03,14:00:00,1.10709,1.10762,1.10592,1.10719,1.10677,9.999999999998899e-5
2016-11-03,14:30:00,1.10719,1.1083,1.10716,1.10829,1.10773,0.001100000000000101
2016-11-03,15:00:00,1.10829,1.10899,1.10796,1.10883,1.1084749999999999,5.399999999999849e-4
2016-11-03,15:30:00,1.10882,1.10954,1.10866,1.10948,1.1091,6.60000000000105e-4
2016-11-03,16:00:00,1.1095,1.10997,1.10925,1.10937,1.10961,-1.2999999999996348e-4
2016-11-03,16:30:00,1.10938,1.11003,1.10926,1.10953,1.109645,1.4999999999987246e-4
2016-11-03,17:00:00,1.10954,1.11117,1.10951,1.11047,1.1103399999999999,9.300000000000974e-4
2016-11-03,17:30:00,1.11046,1.11124,1.1099,1.11119,1.11057,7.299999999998974e-4
2016-11-03,18:00:00,1.1112,1.112,1.11105,1.11124,1.111525,4.0000000000040004e-5
2016-11-03,18:30:00,1.11123,1.1112899999999999,1.11045,1.11048,1.1108699999999998,-7.500000000000284e-4
2016-11-03,19:00:00,1.11045,1.11134,1.11042,1.11131,1.1108799999999999,8.600000000000829e-4
2016-11-03,19:30:00,1.11132,1.11132,1.10999,1.11061,1.110655,-7.099999999999884e-4
2016-11-03,20:00:00,1.1106,1.11105,1.11037,1.11044,1.11071,-1.5999999999993797e-4
2016-11-03,20:30:00,1.11044,1.11119,1.11039,1.11039,1.11079,-5.0000000000105516e-5
2016-11-03,21:00:00,1.11041,1.11061,1.11041,1.11043,1.11051,2.0000000000131024e-5
2016-11-03,21:30:00,1.11047,1.11077,1.11033,1.11054,1.11055,7.00000000000145e-5
2016-11-03,22:00:00,1.11055,1.11092,1.11045,1.11055,1.110685,0
2016-11-03,22:30:00,1.11055,1.11069,1.11043,1.11052,1.11056,-2.999999999997449e-5
2016-11-03,23:00:00,1.11051,1.11063,1.10988,1.10992,1.110255,-5.900000000000905e-4
2016-11-03,23:30:00,1.10993,1.1103,1.10979,1.10991,1.110045,-2.0000000000131024e-5
2016-11-04,00:00:00,1.1099,1.11023,1.10957,1.11,1.1099,9.999999999998899e-5
2016-11-04,00:30:00,1.11,1.11034,1.10987,1.11017,1.110105,1.7000000000000348e-4
2016-11-04,01:00:00,1.11016,1.11073,1.1101,1.11033,1.1104150000000002,1.7000000000000348e-4
2016-11-04,01:30:00,1.11035,1.11058,1.10925,1.10927,1.109915,-0.0010799999999999699
2016-11-04,02:00:00,1.10925,1.1096,1.10874,1.10917,1.10917,-8.000000000008001e-5
2016-11-04,02:30:00,1.10918,1.10933,1.10907,1.10908,1.1092,-9.999999999998899e-5
2016-11-04,03:00:00,1.10909,1.10965,1.109,1.10947,1.1093250000000001,3.8000000000004697e-4
2016-11-04,03:30:00,1.10948,1.1096,1.10937,1.10943,1.1094849999999998,-5.0000000000105516e-5
2016-11-04,04:00:00,1.10944,1.10955,1.10927,1.1095,1.10941,5.999999999994898e-5
2016-11-04,04:30:00,1.10949,1.1096,1.10937,1.10945,1.1094849999999998,-4.0000000000040004e-5
2016-11-04,05:00:00,1.10943,1.10962,1.10914,1.10922,1.10938,-2.0999999999982144e-4
2016-11-04,05:30:00,1.10923,1.10938,1.10862,1.10871,1.109,-5.199999999998539e-4
2016-11-04,06:00:00,1.10872,1.10992,1.10872,1.10974,1.1093199999999999,0.0010200000000000209
2016-11-04,06:30:00,1.10975,1.1102,1.10922,1.10999,1.1097100000000002,2.4000000000001798e-4
2016-11-04,07:00:00,1.10998,1.11069,1.10956,1.10963,1.110125,-3.500000000000725e-4
2016-11-04,07:30:00,1.10962,1.10966,1.10923,1.1096,1.109445,-2.0000000000131024e-5
2016-11-04,08:00:00,1.10959,1.11071,1.10955,1.11035,1.11013,7.599999999998719e-4
2016-11-04,08:30:00,1.11036,1.11043,1.1094,1.10983,1.109915,-5.299999999999194e-4
2016-11-04,09:00:00,1.10982,1.1101,1.10878,1.1093,1.1094400000000002,-5.20000000000076e-4
2016-11-04,09:30:00,1.10931,1.11017,1.10928,1.1099,1.109725,5.900000000000905e-4
2016-11-04,10:00:00,1.1099,1.11034,1.10956,1.11007,1.10995,1.6999999999978144e-4
2016-11-04,10:30:00,1.11008,1.11008,1.10919,1.1097,1.109635,-3.8000000000004697e-4
2016-11-04,11:00:00,1.10969,1.1101,1.10905,1.10982,1.109575,1.2999999999996348e-4
2016-11-04,11:30:00,1.10982,1.11032,1.10955,1.11027,1.1099350000000001,4.5000000000006146e-4
2016-11-04,12:00:00,1.11028,1.1114,1.10987,1.11003,1.1106349999999998,-2.4999999999986144e-4
2016-11-04,12:30:00,1.11002,1.11051,1.10795,1.10944,1.1092300000000002,-5.800000000000249e-4
2016-11-04,13:00:00,1.10944,1.11053,1.1087,1.1093,1.109615,-1.40000000000029e-4
2016-11-04,13:30:00,1.1093,1.11044,1.1087,1.10992,1.1095700000000002,6.200000000000649e-4
2016-11-04,14:00:00,1.10991,1.11113,1.1097,1.11081,1.110415,9.000000000001229e-4
2016-11-04,14:30:00,1.11082,1.11189,1.11063,1.1114,1.1112600000000001,5.800000000000249e-4
2016-11-04,15:00:00,1.11141,1.11221,1.1112,1.1119,1.111705,4.900000000001015e-4
2016-11-04,15:30:00,1.1119,1.11242,1.1113,1.11201,1.11186,1.0999999999983245e-4
2016-11-04,16:00:00,1.11201,1.11262,1.11178,1.11227,1.1122,2.60000000000149e-4
2016-11-04,16:30:00,1.11228,1.11232,1.11179,1.11192,1.112055,-3.5999999999991594e-4
2016-11-04,17:00:00,1.11192,1.1121,1.11148,1.11175,1.11179,-1.7000000000000348e-4
2016-11-04,17:30:00,1.11174,1.11191,1.1112,1.11138,1.111555,-3.5999999999991594e-4
2016-11-04,18:00:00,1.11137,1.11195,1.11134,1.11179,1.111645,4.2000000000008697e-4
2016-11-04,18:30:00,1.11177,1.1121,1.11165,1.11187,1.111875,9.999999999998899e-5
2016-11-04,19:00:00,1.11187,1.11228,1.11187,1.11222,1.112075,3.500000000000725e-4
2016-11-04,19:30:00,1.11222,1.11375,1.1122,1.11374,1.112975,0.0015199999999999658
2016-11-04,20:00:00,1.11374,1.11376,1.11293,1.11326,1.113345,-4.8000000000003595e-4
2016-11-04,20:30:00,1.11327,1.11409,1.1132,1.11386,1.113645,5.900000000000905e-4
2016-11-06,21:00:00,1.10647,1.10661,1.10533,1.10576,1.1059700000000001,-7.099999999999884e-4
2016-11-06,21:30:00,1.10573,1.10628,1.10526,1.10587,1.10577,1.3999999999980695e-4
2016-11-06,22:00:00,1.10582,1.1097,1.10568,1.10844,1.1076899999999998,0.0026200000000000667
2016-11-06,22:30:00,1.10846,1.10878,1.1079,1.1083,1.10834,-1.5999999999993797e-4
2016-11-06,23:00:00,1.10831,1.10898,1.10831,1.10864,1.108645,3.300000000001635e-4
2016-11-06,23:30:00,1.10864,1.10989,1.10832,1.10942,1.109105,7.800000000000029e-4
2016-11-07,00:00:00,1.10946,1.11096,1.10934,1.11092,1.11015,0.0014600000000000168
2016-11-07,00:30:00,1.11092,1.11093,1.10938,1.10986,1.110155,-0.0010599999999998388
2016-11-07,01:00:00,1.10987,1.11059,1.10968,1.11006,1.110135,1.900000000001345e-4
2016-11-07,01:30:00,1.11005,1.11006,1.10905,1.10939,1.109555,-6.599999999998829e-4
2016-11-07,02:00:00,1.1094,1.10975,1.1083,1.1083,1.109025,-0.0010999999999998789
2016-11-07,02:30:00,1.10831,1.10836,1.107,1.10761,1.10768,-6.999999999999229e-4
2016-11-07,03:00:00,1.1076,1.10794,1.10724,1.10771,1.10759,1.100000000000545e-4
2016-11-07,03:30:00,1.10771,1.10803,1.10771,1.1079,1.1078700000000001,1.900000000001345e-4
2016-11-07,04:00:00,1.1079,1.10828,1.10781,1.10822,1.108045,3.1999999999987594e-4
2016-11-07,04:30:00,1.10822,1.1085,1.10712,1.10726,1.1078100000000002,-9.600000000000719e-4
2016-11-07,05:00:00,1.10728,1.10745,1.1067,1.10675,1.107075,-5.300000000001415e-4
2016-11-07,05:30:00,1.10675,1.10727,1.10657,1.10727,1.1069200000000001,5.20000000000076e-4
2016-11-07,06:00:00,1.10729,1.10736,1.10668,1.10696,1.10702,-3.300000000001635e-4
2016-11-07,06:30:00,1.10697,1.10714,1.10634,1.10641,1.10674,-5.60000000000116e-4
2016-11-07,07:00:00,1.10642,1.10663,1.10546,1.10581,1.106045,-6.099999999999994e-4
2016-11-07,07:30:00,1.10582,1.10657,1.10546,1.10588,1.1060150000000002,5.999999999994898e-5
2016-11-07,08:00:00,1.10586,1.10599,1.10524,1.10597,1.105615,1.0999999999983245e-4
2016-11-07,08:30:00,1.10598,1.10612,1.10486,1.10487,1.10549,-0.0011099999999999444
2016-11-07,09:00:00,1.10487,1.10532,1.1048,1.10506,1.10506,1.8999999999991246e-4
2016-11-07,09:30:00,1.10507,1.10607,1.10497,1.10597,1.10552,8.999999999999009e-4
2016-11-07,10:00:00,1.10597,1.10731,1.10596,1.10711,1.106635,0.001140000000000141
2016-11-07,10:30:00,1.1071,1.10712,1.10632,1.10695,1.1067200000000001,-1.4999999999987246e-4
2016-11-07,11:00:00,1.10696,1.10697,1.10626,1.10643,1.1066150000000001,-5.299999999999194e-4
2016-11-07,11:30:00,1.10642,1.10655,1.10592,1.10631,1.1062349999999999,-1.100000000000545e-4
2016-11-07,12:00:00,1.10632,1.10723,1.10611,1.1072,1.1066699999999998,8.799999999999919e-4
2016-11-07,12:30:00,1.10719,1.10719,1.10616,1.10622,1.106675,-9.699999999999154e-4
2016-11-07,13:00:00,1.10621,1.10653,1.10563,1.10595,1.10608,-2.5999999999992696e-4
2016-11-07,13:30:00,1.10595,1.10625,1.10548,1.10572,1.105865,-2.2999999999995246e-4
2016-11-07,14:00:00,1.10571,1.10597,1.10546,1.10587,1.105715,1.5999999999993797e-4
2016-11-07,14:30:00,1.10586,1.106,1.10468,1.10498,1.10534,-8.799999999999919e-4
2016-11-07,15:00:00,1.10496,1.105,1.10331,1.10345,1.104155,-0.0015099999999999003
2016-11-07,15:30:00,1.10345,1.10377,1.10304,1.1033,1.103405,-1.500000000000945e-4
2016-11-07,16:00:00,1.10331,1.10415,1.10294,1.10389,1.103545,5.800000000000249e-4
2016-11-07,16:30:00,1.1039,1.10414,1.10329,1.10366,1.103715,-2.4000000000001798e-4
2016-11-07,17:00:00,1.10366,1.10374,1.1033,1.10331,1.10352,-3.500000000000725e-4
2016-11-07,17:30:00,1.1033,1.10428,1.10269,1.10424,1.103485,9.400000000001629e-4
2016-11-07,18:00:00,1.10423,1.10423,1.10312,1.10353,1.103675,-7.00000000000145e-4
2016-11-07,18:30:00,1.10353,1.10384,1.10332,1.10381,1.10358,2.80000000000058e-4
2016-11-07,19:00:00,1.1038,1.10406,1.10364,1.1037,1.10385,-9.999999999998899e-5
2016-11-07,19:30:00,1.10369,1.10388,1.10347,1.10376,1.103675,7.00000000000145e-5
2016-11-07,20:00:00,1.10375,1.1046,1.10362,1.10446,1.10411,7.099999999999884e-4
2016-11-07,20:30:00,1.10447,1.10467,1.1042,1.10444,1.104435,-2.999999999997449e-5
2016-11-07,21:00:00,1.10444,1.10444,1.10406,1.1042,1.10425,-2.4000000000001798e-4
2016-11-07,21:30:00,1.1042,1.10428,1.10381,1.10395,1.104045,-2.500000000000835e-4
2016-11-07,22:00:00,1.10395,1.10461,1.10389,1.10437,1.10425,4.2000000000008697e-4
2016-11-07,22:30:00,1.10438,1.10467,1.10407,1.10429,1.10437,-8.999999999992347e-5
2016-11-07,23:00:00,1.10426,1.10485,1.10416,1.10421,1.104505,-5.0000000000105516e-5
2016-11-07,23:30:00,1.1042,1.10492,1.1042,1.10486,1.10456,6.599999999998829e-4
2016-11-08,00:00:00,1.10483,1.10483,1.10399,1.10414,1.1044100000000001,-6.900000000000794e-4
2016-11-08,00:30:00,1.10413,1.10432,1.10395,1.10408,1.1041349999999999,-5.0000000000105516e-5
2016-11-08,01:00:00,1.10408,1.10431,1.10325,1.10352,1.10378,-5.599999999998939e-4
2016-11-08,01:30:00,1.10351,1.10388,1.10345,1.1038,1.103665,2.8999999999990145e-4
2016-11-08,02:00:00,1.1038,1.1038,1.10315,1.10318,1.103475,-6.199999999998429e-4
2016-11-08,02:30:00,1.1032,1.10344,1.10294,1.10321,1.1031900000000001,1.0000000000065512e-5
2016-11-08,03:00:00,1.10322,1.10373,1.10305,1.10359,1.10339,3.6999999999998145e-4
2016-11-08,03:30:00,1.1036,1.10392,1.10352,1.10381,1.10372,2.1000000000004349e-4
2016-11-08,04:00:00,1.10382,1.10398,1.10376,1.10391,1.1038700000000001,8.999999999992347e-5
2016-11-08,04:30:00,1.10391,1.10413,1.1038,1.10413,1.103965,2.20000000000109e-4
2016-11-08,05:00:00,1.10413,1.10433,1.10405,1.10431,1.10419,1.7999999999984695e-4
2016-11-08,05:30:00,1.10432,1.10435,1.10419,1.10419,1.10427,-1.2999999999996348e-4
2016-11-08,06:00:00,1.10419,1.10454,1.10419,1.10453,1.104365,3.4000000000000696e-4
2016-11-08,06:30:00,1.10452,1.10453,1.10435,1.10437,1.1044399999999999,-1.4999999999987246e-4
2016-11-08,07:00:00,1.10438,1.10492,1.10438,1.10482,1.10465,4.3999999999999595e-4
2016-11-08,07:30:00,1.10483,1.10561,1.10465,1.10546,1.10513,6.300000000001305e-4
2016-11-08,08:00:00,1.10547,1.1066,1.10547,1.10583,1.1060349999999999,3.60000000000138e-4
2016-11-08,08:30:00,1.10584,1.10647,1.10577,1.10603,1.10612,1.900000000001345e-4
2016-11-08,09:00:00,1.10604,1.10604,1.10526,1.10549,1.1056499999999998,-5.499999999998284e-4
2016-11-08,09:30:00,1.1055,1.10561,1.10494,1.10496,1.105275,-5.399999999999849e-4
2016-11-08,10:00:00,1.10495,1.10508,1.10452,1.10488,1.1048,-7.00000000000145e-5
